id,content,label_e,label_n
47266.12,"Good Monday to you Glenz; by now, I am sure your head must be spinning - it is a lot to digest I am sure and by now you are probably feeling it's pretty hopeless.
  Well; I am about to provide some more information for you to read, so hang on to your garters, Gertie - No, no, stop screaming; it's all to the good - I assure you!  You okay?  Good!  We shall commence.
  Since you do not know me, I'll introduce my background.  I am an RN who has spent over 20 years as Administrator of Patient Case Management in acute hospitals which includes my managing the departments of Case Management, Discharge Planning, Social Services and Utilization Management.  I also have had a ""side"" business of auditing records for Quality Improvement and spent much time doing this for Hospice and Home Health organizations and other settings as well.
  My mother had FrontoTemporal Dementia and my step-dad and MIL were given the diagnosis of Alzheimer's Disease.  To make an understatement, it has been interesting.
  While nothing is ever 100%; most of the following is all what actually happens in the vast majority of the time with the various Hospice organizations.  It is all okay.
  When reading the actual ""law,"" one comes away with a certain set of feelings and/or understanding; but practical application, in actual practice, can be quite, quite, different and still be within the criteria parameters.
  When Hospice has a Cancer, or Heart or COPD patient, they usually follow a very easy to define line of decline.  It is almost a black and white portrait.
  However; in dementia; this is not so.  It is all shades of gray.  The federal guidelines did not originally make plans for Hospice care in dementia - they have been caught up short.  So they tried to hash out criteria, and it has again come up short.  Also, there are different dementias which can present differently and they are not easily categorized.  Many gravely compromised dementia patients on the End-Stage slide do not fit the, ""FAST"" Criteria which is a measurement for Hospice admission.
  Hospice accommodates this by using other reasons or combined reasons with a ""softer"" admissions standard to their service.  They may use Adult Failure to Thrive, or use Debility and Decline, they may use co-morbidities, weight loss and nutrition issues, etc., or combinations of all. 
  What is done in practice, is that Hospice is much ""softer"" on admissions for dementia patients.   I have observed and experienced this for years and we have seen this here from some of our Members.
  When a patient is admitted to Hospice, they are ""Certified"" as a Hospice patient for a certain number of days - the first two Cert periods are for 90 days and all other cert periods are for 60 days.
  The admission is Certified for an initial 90 days - and the intake Hospice staff feels there will in all probability be further decline during that time period.  However, if the patient rallies, or if the patient remains stable, the patient may possibly (or not) be discharged from Hospice and can be readmitted later as the condition begins to decline and the patient requires Hospice services.
  ALSO - it is true; Hospice does indeed pay for the prescriptions for the Primary (Principle) Diagnosis (reason) for admission to Hospice.  They do not pay for meds for the co-morbidity - secondary diagnoses.   They also pay for palliative and comfort meds.  They do not cover extraordinary life-saving treatment, but we all are pretty much aware of that.
  So; my mother's dementia meds were covered by Hospice, but her Blood Pressure meds were not as that was for a co-morbidity - hypertension; her insurance covered that under Medicare Part D.
  If the patient were admitted for COPD, prescriptions relating to that diagnosis would be covered, but not for other existing conditions. 
  My step-dad admitted at one point had his dementia meds covered, but not his vascular meds as his primary diagnosis for admission was dementia.  He greatly improved and was discharged from Hospice.  His second admission to Hospice was related to his grave, end-stage vascular condition and those meds were covered along with his comfort meds, but not his dementia meds.
  While Hospice does not provide a daily, full-day aide in the house, (except that three times a week for bathing, shaving and light housekeeping of the patient areas), my mother's Hospice did indeed provide an LVN for the period of the evolving terminal event if needed - such as at night so we could sleep, but we did not require that service.  Not all Hospices may provide this.  One can ask.  Some Hospices have special services they choose to provide; we see this with some agencies providing incontinence supplies and others that do not.
  Palliative Care is a step between Home Health and Hospice.  One receives supportive care for their chronic condition likely to lead to death and declining, but the patient may still seek care at the acute hospital and to the negative, it does not include paying for equipment or meds as is done in Hospice.  It is a good between place for patients who need the care, but do who are not yet ready to sign on to Hospice. 
  Pure Palliative Care is difficult to come by.  Kaiser Permanente, (a large HMO), has an excellent Palliative Care program.  There are a small number of Hospice organizations that have pure Palliative Care in addition to their Hospice program, but that is not usual.  In such a lacking situation, Palliative Care can be provided under the Home Care umbrella and be paid for by Medicare, Medicaid or other third parties (if it is a benefit of the policy) as ordered by the physician.
  NOTE:   One of our long-term very active Forum Members mother was admitted to Hospice - her mother was able to sit upright, walk with a walker, was able to eat, was ""reasonably continent,"" had one co-morbidity - hypothyroid which was, ""easily treated"" with oral medication.
  This patient and her caregiver received marvelous Hospice care and support.  The mother passed away not that long ago; pretty much mid-stride with her walker - it may well have been secondary to a stroke. 
  So . . . . . even though your husband may not fit the ""FAST"" criteria, it will serve you well to go ahead and have Hospice come out to assess him and to speak with you.  He may well fit the ""softer"" criteria for admission; but if he does not, Hospice will give you much information and an overview of their services and when to contact them again.  This is invaluable information and nothing will be lost.  And remember . . . each Hospice organization is different from the other with different ways they measure, so nothing ventured nothing gained in that set of dynamics.
  So that is the end of Goldilocks and the Three Bears . . . . oh wait . . . that's another story . . . . well; later on that one.
  With soft hugs and the very, very best wishes that can be,
  Johanna C.",1,1
7755.2,"What type of facility are they recommending?  I know the sexual aggression occurs with some Alz patients.  So sorry you're dealing with this.
Blessings,
Jamie",1,1
261.4,"This sounds like you need someone else to come with you to your mother's appointment.
No, I would not expect anyone to help you with a diaper change at the appointment.  
Fax or e mail a short, bullet point list with your main issues ahead of time.  You will be distracted with hands on care at the appt.
Take a picture on your phone of her bottom today during a diaper change in case the MD is unable to perform a physical examination
Most medical offices will try to work with the patient sitting in a wheelchair unless absolutely needed to get on the table, for example - procedure, microscope, etc.
If the office can do a blood draw, it saves you a trip out to a lab.  Most offices refer out for bloodwork.  Some of these labs have the option to hire a home draw visit at extra cost (i.e. QUEST).  
Bring lots of snack, a favorite milkshake, something to keep Mom distracted in the waiting room or during a blood draw.",0,1
36075.9,"My DH has an easier time swallowing capsules than pills (unless they are candy coated).  I purchase empty capsules and put the pills inside.  Then I slather the capsule with vaseline.  They slide right down and we don't have a problem with dissolving in the mouth and him spitting them out. 
Blessings,
Jamie",1,1
6013.8,"When I said 'lesser evil' I meant we have to balance the consequences of lack of sound sleep in both patient and caregiver (which can also affect cognition and mood) against the residual drowsiness caused by sedatives.  The benadryl in those  'harmless' OTC sleep medications are probably the very worst choice in an older person.  There must be something better than Ambien or benadryl, but there is no medication that does not have unfortunate side-effects.  It takes a skilled physician to find out what both works and can be  tolerated.",0,1
43796.16,"I have been told that there is no way my dh will let me have any say about when he is going to retire from farming.  We have a small farm but there are things that need to get done that I can't do and he can't/won't/shouldn't.  He let the coop scout the fields for when they needed to get sprayed.  The other day the person who has some plots on our land called to tell him that he needed to spray the beans for bugs.  My dh who tells me how he loves farming, does not go check the crops to keep an eye on things.
  We have had an increase in fixing dumb accidents.  He sees no relationship to those and him having a problem.  I know his reasoner is broken.  He thinks he is going to run the combine and haul in grain.  I can't physically help anymore.  He gets mad because I won't help but the Dr. has told me not to be doing that kind of work anymore. I suffer if I try.
  I am sure it will take some kind of crisis to put any change into place.  I don't think I can do anything else.  I have hired a college kid in the past to help some.  I am afraid to get someone because if they would get hurt because of my dh I know I would feel really bad as well as any lawsuit that could be filed.  I don't want someone hurt because my dh thinks all is right with him.
  I will remember the suggestion that it is to expensive to be fixed or it will take a long time for parts if I can use it.
  Teresa99
   ",0,1
23248.2,"If APS won't help, it sounds like you're making the right decision to step away.",0,1
43247.106,"  Bridget:  Those girls are so beautiful and look like they are having so much fun.  It is nice they get to experience riding the horse.  Cute horse too.  He looks very gentle with the girls. 
   I hope your back is feeling better.  Yes, you need to be in tip top shape to have fun with your family for a few days.  Sure hope all goes well with getting the papers you need from the VA.  Seems like time is of the essence when they want something, but isn't so much when you request records.  Guess that's the way it goes.
   It is so hard when our dear ones don't sleep.  I don't know how you keep going.  If I don't get enough sleep, I just feel awful and am so cranky.  I have to get rest.  I think the worst sleep is interrupted sleep.  I feel blessed that Harv goes to bed and sleeps all night.  Only a couple of times has he been up wandering around.
   It is about time for a snack for Harv before he goes to bed so I will sign off and get him something.
   Sleep well everyone.  Lorita, I'm sending more rain to you.  It rained buckets this afternoon.  Joan ",1,1
45987.9,"Biddie,  I really want to encourage to call your doctor  and tell about your depression.   You may just need an antidepressant  for a short time to help you regain all of your health.  Any major life change can upset the balance of the chemicals in our brains.  Surgery certainly qualifies as a major upset.  
I hope you find some answers soon.  My go to depression passage in the Bible is Psalms 40:1-3:    ""I waited patiently for the Lord;  he turned to me and heard my cry.   He lifted me out of the slimy pit;  out of the mud and mire; he set my feet on a rock    and gave me a firm place to stand.He put a new song(I) in my mouth,   a hymn of praise to our God Many will see and fear the Lord    and put their trust(K) in him.",1,1
18369.3,"Don't fret, it's not just you two.  Much love to this site and all involved, but it can be a bit confusing and even once you figure it out, things can seem a little wonky.
  You have to connect with the person first by clicking their image, inviting, getting accepted and then you can look for them by going to the inbox, click compose, then search for them in ""connections.   whew
  May not be the easiest site to navigate, but by far the best for caregiver support and information!
  It took a while for my connections to become accessible even after we went through the invite/accept stuff. That's where the wonky part comes in. 
  Good thing we're a patient bunch eh?!
  Don't give up, we need you!",1,1
